id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,release_year
93,Vibrant Path,Taylor Swift,blues,relaxed,0.97,74,0.31,0.77,0.57,2020
94,Crystal Voice,Dua Lipa,reggae,relaxed,0.9,101,0.97,0.55,0.29,2023
95,Burning Wind,Kendrick Lamar,blues,emotional,0.1,153,0.35,0.99,0.73,2023
96,Rising Vision,Zedd,reggae,chill,0.25,81,0.35,0.24,0.66,2022
97,Golden Light,Lil Nas X,flamenco,energetic,0.23,100,0.83,0.27,0.87,2022
98,Neon Rain,Arctic Monkeys,world,energetic,0.15,141,0.52,0.64,0.86,2015
99,Electric Sound,Harry Styles,jazz,focused,0.79,166,0.95,0.77,0.57,2017
100,Echoing Soul,Jack Harlow,classical,peaceful,0.4,85,0.53,0.8,0.91,2022
101,Ocean River,Arctic Monkeys,dark ambient,gloomy,0.93,124,0.69,0.4,0.48,2024
102,Mountain Sky,Bruno Mars,jazz,smooth,1.0,172,0.5,0.88,0.74,2018
103,Echoing Bridge,Lana Del Rey,psychedelic rock,mysterious,0.29,83,0.22,0.3,0.21,2020
104,Urban Dream,Harry Styles,r&b,smooth,0.52,66,0.69,0.52,0.37,2020
105,Found Ice,Imagine Dragons,synthwave,moody,0.54,109,0.76,0.29,0.74,2023
106,Lost Silence,SZA,folk,emotional,0.69,107,0.35,0.72,0.68,2023
107,Lunar Bridge,Jack Harlow,rock,moody,0.59,113,0.24,0.57,0.87,2016
108,Broken Heart,Glass Animals,world,energetic,0.75,168,0.67,0.47,0.52,2019
109,Rising River,Lana Del Rey,edm,energetic,0.57,160,0.51,0.65,0.03,2021
110,Crystal Storm,Billie Eilish,blues,emotional,0.62,178,0.74,0.32,0.8,2015
111,Digital Path,Olivia Rodrigo,ambient,focused,0.24,68,0.94,0.48,0.88,2015
112,Electric Beat,Arctic Monkeys,jazz,focused,0.34,86,0.68,0.79,0.42,2024
113,Broken Moon,Justin Bieber,lofi,peaceful,0.34,74,0.6,0.42,0.85,2020
114,Digital Sound,Lil Nas X,hip hop,moody,0.55,153,0.86,0.12,0.46,2019
115,Falling Beat,Glass Animals,synthwave,futuristic,0.91,117,0.96,0.39,0.42,2015
116,Warm Road,The Chainsmokers,classical,emotional,0.46,89,0.34,0.3,0.2,2024
117,Fading Grace,Taylor Swift,country,relaxed,0.36,105,0.75,0.79,0.49,2023
118,Rising Fire,Doja Cat,metal,angry,0.46,122,0.48,0.11,0.19,2017
119,Found Star,Megan Thee Stallion,blues,melancholy,0.52,71,0.92,0.69,0.2,2019
120,Hidden Pulse,Kygo,country,happy,0.58,166,0.87,0.98,0.58,2021
121,Neon Ice,Jack Harlow,ambient,chill,0.12,152,0.95,0.84,0.43,2015
122,Deep Ice,Post Malone,world,peaceful,0.7,132,0.86,0.44,0.29,2024
123,Cold Beat,Coldplay,pop,emotional,0.15,152,0.99,0.17,0.35,2015
124,Mountain Bridge,Post Malone,flamenco,energetic,0.92,173,0.31,1.0,0.87,2023
125,Vibrant Road,Marshmello,flamenco,passionate,0.77,82,0.85,0.96,0.64,2021
126,Electric Wind,Tame Impala,metal,angry,0.93,115,0.78,0.89,0.3,2022
127,Urban Grace,Megan Thee Stallion,r&b,emotional,0.82,139,0.53,0.55,0.17,2018
128,Rising Sound,Lana Del Rey,psychedelic rock,relaxed,0.51,97,0.81,0.26,0.97,2017
129,Ocean Heart,Doja Cat,latin,passionate,0.52,99,0.67,0.28,0.73,2015
130,Burning Dream,Justin Bieber,folk,emotional,0.75,141,0.22,0.4,0.99,2018
131,Midnight Soul,Bad Bunny,world,traditional,0.11,79,0.1,0.71,0.89,2019
132,Echoing Bridge,Glass Animals,reggae,happy,0.94,96,0.22,0.75,0.11,2019
133,Golden Ocean,Zedd,folk,emotional,0.71,117,0.37,0.25,0.39,2021
134,Rising Ocean,Kendrick Lamar,punk,energetic,0.93,138,0.9,0.62,0.61,2022
135,Crystal Soul,Bruno Mars,techno,robotic,0.34,122,0.73,0.38,0.79,2016
136,Broken Dream,Tame Impala,grunge,sad,0.98,127,0.28,0.68,0.41,2022
137,Flying Fire,The Lumineers,latin,happy,0.81,125,0.99,0.92,0.13,2020
138,Secret Sky,Glass Animals,synthwave,moody,0.98,97,0.13,0.11,0.87,2018
139,Vibrant Pulse,Billie Eilish,folk,peaceful,0.6,133,0.87,0.11,0.9,2018
140,Rising Sky,Ariana Grande,grunge,moody,0.8,67,0.86,0.33,0.63,2016
141,Rising Wave,Bruno Mars,latin,happy,0.76,126,0.21,0.1,0.76,2024
142,Cold Dream,The Chainsmokers,ambient,chill,0.47,77,0.88,0.57,0.97,2018
143,Hidden Beat,Drake,techno,robotic,0.73,86,0.68,0.72,0.42,2016
144,Broken Mirror,Zedd,hip hop,confident,0.82,167,0.66,0.17,0.59,2016
145,Lunar Sky,Ed Sheeran,techno,intense,0.61,87,0.25,0.3,0.18,2016
146,Velvet Voice,Doja Cat,rock,intense,0.65,126,0.51,0.46,0.28,2020
147,Ocean Beat,Lil Nas X,psychedelic rock,relaxed,0.34,125,0.89,0.26,0.47,2023
148,Burning Rain,Glass Animals,blues,emotional,0.38,140,0.94,0.31,0.55,2023
149,Lunar Path,Tame Impala,ambient,peaceful,0.56,86,0.23,0.23,0.62,2024
150,Warm Beat,Kygo,lofi,peaceful,0.63,144,0.11,0.45,0.34,2023
